id,course_code,cl_no,course_name,cl_day,cl_start,cl_end,cl_room,lecturer
236,CCEN 3004,07,College Speaking,1,11:30,12:50,KEC 1002,
237,CCEN 3004,07,College Speaking,5,16:00,17:20,KEC 1002,
238,CCEN 3004,08,College Speaking,2,16:00,17:20,KEC 1002,
239,CCEN 3004,08,College Speaking,5,08:30,09:50,KEC 1002,
240,CCEN 4004,02,English for Academic and Professional Purposes Part I,1,11:30,12:50,KEC 509,
241,CCEN 4004,02,English for Academic and Professional Purposes Part I,3,10:00,11:20,KEC 707,
242,CCEN 4004,03,English for Academic and Professional Purposes Part I,1,08:30,09:50,KEC 606,
243,CCEN 4004,03,English for Academic and Professional Purposes Part I,3,11:30,12:50,KEC 707,
244,CCEN 4004,04,English for Academic and Professional Purposes Part I,2,11:30,12:50,KEC 706,
245,CCEN 4004,04,English for Academic and Professional Purposes Part I,5,10:00,11:20,KEC 606,
246,CCEN 4004,05,English for Academic and Professional Purposes Part I,3,13:00,14:20,KEC 706,
247,CCEN 4004,05,English for Academic and Professional Purposes Part I,5,13:00,14:20,KEC 907,
248,CCEN 4004,06,English for Academic and Professional Purposes Part I,2,11:30,12:50,KEC 702,
249,CCEN 4004,06,English for Academic and Professional Purposes Part I,3,11:30,12:50,KEC 706,
250,CCEN 4004,07,English for Academic and Professional Purposes Part I,1,14:30,15:50,KEC 605,
251,CCEN 4004,07,English for Academic and Professional Purposes Part I,5,11:30,12:50,KEC 907,
252,CCEN 4004,08,English for Academic and Professional Purposes Part I,2,14:30,15:50,KEC 509,
253,CCEN 4004,08,English for Academic and Professional Purposes Part I,4,10:00,11:20,KEC 706,
254,CCEN 4004,09,English for Academic and Professional Purposes Part I,4,14:30,15:50,KEC 703,
255,CCEN 4004,09,English for Academic and Professional Purposes Part I,5,16:00,17:20,KEC 703,
256,CCEN 4004,10,English for Academic and Professional Purposes Part I,1,13:00,14:20,KEC 605,
257,CCEN 4004,10,English for Academic and Professional Purposes Part I,4,13:00,14:20,KEC 703,
258,CCEN 4004,11,English for Academic and Professional Purposes Part I,2,11:30,12:50,KEC 510,
259,CCEN 4004,11,English for Academic and Professional Purposes Part I,4,11:30,12:50,KEC 605,
260,CCEN 4004,12,English for Academic and Professional Purposes Part I,3,13:00,14:20,KEC 606,
261,CCEN 4004,12,English for Academic and Professional Purposes Part I,5,13:00,14:20,KEC 702,
262,CCEN 4004,13,English for Academic and Professional Purposes Part I,1,13:00,14:20,KEC 510,
263,CCEN 4004,13,English for Academic and Professional Purposes Part I,4,14:30,15:50,KEC 702,
264,CCEN 4004,14,English for Academic and Professional Purposes Part I,2,13:00,14:20,KEC 510,
